UCNEGME_ID_NEGOCIO~UCNEGME_ID_MEDIADO~UCNEGME_F_ALTA~UCNEGME_F_BAJA~UCNEGME_TS_ULT_MOD~UCNEGME_ID_USER_MO~UCNEGME_ID_EMPRESA~FEC_GENERACION~F_CARGA
00001000~100790~2013-11-01~2050-12-31~2013-11-19 12:19:23.644034~PRRMAFU ~3~2013-11-19 12:19:23.654352~2013-11-20 06:36:00
00001001~100790~2013-11-01~2050-12-31~2013-11-19 12:19:23.707651~PRRMAFU ~3~2013-11-19 12:19:23.707664~2013-11-20 06:36:00
00002000~100790~2013-11-01~2050-12-31~2013-11-19 13:03:44.091065~PRRMAFU ~3~2013-11-19 13:03:44.093760~2013-11-20 06:36:00
00002001~100790~2013-11-01~2050-12-31~2013-11-19 13:03:44.156073~PRRMAFU ~3~2013-11-19 13:03:44.156096~2013-11-20 06:36:00
00003000~100034~2013-10-31~2050-12-31~2013-11-20 10:42:00.380358~PGWAANEG~3~2013-11-20 10:42:00.386288~2013-11-21 01:04:00
00003001~100034~2013-10-31~2050-12-31~2013-11-20 10:42:00.408873~PGWAANEG~3~2013-11-20 10:42:00.408880~2013-11-21 01:04:00
00003002~100034~2013-10-31~2050-12-31~2013-11-20 10:44:00.742474~PGWAANEG~3~2013-11-20 10:44:00.742560~2013-11-21 01:04:00
00004000~100010~2013-11-01~2050-12-31~2013-11-22 11:35:45.662851~PRRMAFU ~3~2013-11-22 11:35:45.671936~2013-11-23 01:28:00
00004001~100010~2013-11-01~2050-12-31~2013-11-22 11:35:45.696483~PRRMAFU ~3~2013-11-22 11:35:45.696496~2013-11-23 01:28:00
00026000~100501~2013-11-15~2016-04-11~2013-11-27 13:12:24.032043~PREMAMA ~3~2016-04-11 09:18:07.345552~2016-04-12 02:39:00
00026000~100981~2016-04-11~2050-12-31~2016-04-11 09:18:07.345868~PREMAMA ~3~2016-04-11 09:18:07.346480~2016-04-12 02:39:00
00026001~100501~2013-11-15~2050-12-31~2013-11-27 13:12:24.084121~PREMAMA ~3~2013-11-27 13:12:24.084144~2013-11-28 01:17:00
00026002~100501~2013-11-15~2050-12-31~2013-11-27 13:27:07.249786~PREMAMA ~3~2013-11-27 13:27:07.255280~2013-11-28 01:17:00
00027000~100827~2013-11-28~2050-12-31~2013-11-28 15:14:50.883987~PREMAMA ~3~2013-11-28 15:14:50.890944~2013-11-29 01:06:00
00027001~100827~2013-11-28~2050-12-31~2013-11-28 15:14:50.921858~PREMAMA ~3~2013-11-28 15:14:50.921872~2013-11-29 01:06:00
00027002~100827~2013-11-28~2050-12-31~2015-07-02 10:21:12.649848~PREMAMA ~3~2015-07-02 10:21:12.655680~2015-07-03 01:33:00
00027003~100827~2018-03-01~2050-12-31~2018-03-22 18:56:14.400898~PRRMAFU ~3~2018-03-22 18:56:14.400944~2018-03-23 01:12:00
00028000~100066~2013-10-22~2050-12-31~2013-11-28 16:46:23.482652~PREMAMA ~3~2013-11-28 16:46:23.487504~2013-11-29 01:06:00
00028001~100066~2013-10-22~2050-12-31~2013-11-28 16:46:23.520717~PREMAMA ~3~2013-11-28 16:46:23.520736~2013-11-29 01:06:00
00028002~100066~2013-11-28~2050-12-31~2013-11-28 17:09:42.879359~PREMAMA ~3~2013-11-28 17:09:42.880528~2013-11-29 01:06:00
00028003~100066~2013-11-28~2050-12-31~2013-11-28 18:03:55.917340~PREMAMA ~3~2013-11-28 18:03:55.919712~2013-11-29 01:06:00
00028004~100066~2013-11-28~2050-12-31~2013-11-28 18:16:16.350922~PREMAMA ~3~2013-11-28 18:16:16.352176~2013-11-29 01:06:00
00028005~100066~2013-10-22~2050-12-31~2014-03-31 09:21:41.410506~PREMAMA ~3~2014-03-31 09:21:41.419536~2014-04-01 01:03:00
00028006~100066~2013-10-22~2050-12-31~2014-03-31 09:54:53.711645~PREMAMA ~3~2014-03-31 09:54:53.714080~2014-04-01 01:03:00
00028007~100066~2013-10-22~2050-12-31~2014-03-31 10:03:50.771950~PREMAMA ~3~2014-03-31 10:03:50.772000~2014-04-01 01:03:00
00028008~100066~2013-10-22~2050-12-31~2014-03-31 10:22:29.146685~PREMAMA ~3~2014-03-31 10:22:29.149104~2014-04-01 01:03:00
00029000~100441~2013-11-29~2050-12-31~2013-11-29 13:26:24.193000~PREMAMA ~3~2013-11-29 13:26:24.200608~2013-11-30 01:46:00
00029001~100441~2013-11-29~2050-12-31~2013-11-29 13:26:24.232353~PREMAMA ~3~2013-11-29 13:26:24.232368~2013-11-30 01:46:00
00029002~100441~2013-11-29~2050-12-31~2013-11-29 14:02:49.784077~PREMAMA ~3~2013-11-29 14:02:49.785728~2013-11-30 01:46:00
00029003~100441~2013-11-29~2050-12-31~2013-11-29 14:06:50.567943~PREMAMA ~3~2013-11-29 14:06:50.568032~2013-11-30 01:46:00
00041000~100441~2013-12-03~2050-12-31~2013-12-03 09:28:06.471681~PREMAMA ~3~2013-12-03 09:28:06.478208~2013-12-04 07:16:00
00041001~100441~2013-12-03~2050-12-31~2013-12-03 09:28:06.510975~PREMAMA ~3~2013-12-03 09:28:06.510992~2013-12-04 07:16:00
00042000~100441~2013-11-15~2050-12-31~2013-12-03 09:52:07.309089~PREMAMA ~3~2013-12-03 09:52:07.314912~2013-12-04 07:16:00
00042001~100441~2013-11-15~2050-12-31~2013-12-03 09:52:07.336081~PREMAMA ~3~2013-12-03 09:52:07.336096~2013-12-04 07:16:00
